geonameid,name,asciiname,name_en,name_es,name_fr,name_it,name_ru,lat,lon,elevation,timezone,feature_code,is_capital,iso_a2,iso_a3,country_name,admin1_code,admin1_name,population,metro_population,pop_growth_10yr,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_precipitation,sunshine_hours_yr,mean_wind_speed,pm25,pm10,gdp_per_capita_ppp,hdi,internet_pct,life_expectancy,urban_pct,agri_pct_gdp,industry_pct_gdp,services_pct_gdp,literacy_rate,gini,co2_per_capita,hospital_beds_per_1k
3430863,Mar del Plata,Mar del Plata,Mar del Plata,Mar del Plata,Mar del Plata,Mar del Plata,Мар-дель-Плата,-38.00042,-57.5562,14.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,593337,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3836873,San Miguel de Tucumán,San Miguel de Tucuman,San Miguel de Tucumán,San Miguel de Tucumán,San Miguel de Tucumán,San Miguel de Tucumán,Сан-Мигель-де-Тукуман,-26.81601,-65.21051,440.0,America/Argentina/Tucuman,PPLA,admin1,AR,ARG,Argentina,24,Tucuman,548866,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3838233,Salta,Salta,Salta,Ciudad de Salta,Salta,Salta,Сальта,-24.80645,-65.41999,1054.0,America/Argentina/Salta,PPLA,admin1,AR,ARG,Argentina,17,Salta,520683,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3836277,Santa Fe,Santa Fe,Santa Fe,Ciudad de Santa Fe,Santa Fe,Santa Fe,Санта-Фе,-31.64881,-60.70868,21.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,21,Santa Fe,391164,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3435217,Corrientes,Corrientes,Corrientes,Ciudad de Corrientes,Corrientes,Corrientes,Корриентес,-27.46784,-58.8344,63.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,06,Corrientes,346334,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3429886,Posadas,Posadas,Posadas,Posadas,Posadas,Posadas,Посадас,-27.39184,-55.92379,108.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,14,Misiones,305874,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3865086,Bahía Blanca,Bahia Blanca,Bahía Blanca,Bahía Blanca,Bahía Blanca,Bahía Blanca,Байя-Бланка,-38.7176,-62.26545,20.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,299101,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3429577,Resistencia,Resistencia,Resistencia,Ciudad de Resistencia,Resistencia,Resistencia,Ресистенсия,-27.46363,-58.98665,45.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,03,Chaco,290793,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3430697,Merlo,Merlo,Merlo,Merlo,Merlo,Merlo,Мерло,-34.66536,-58.72744,13.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,268961,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3429652,Quilmes,Quilmes,Quilmes,Quilmes,Quilmes,Quilmes,Кильмес,-34.72065,-58.25454,24.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,262379,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
